Storm ID,Longitude,Latitude,Minimum Pressure (hPa),Time
386,2.79683257918552,71.427149321267,973.956984753864,1988-11-16 05:00:00
386,3.92511312217195,71.3676470588236,973.790261728824,1988-11-16 06:00:00
386,5.23484162895928,71.3194570135747,973.327984250301,1988-11-16 07:00:00
386,6.51244343891403,71.2570135746606,973.428396981292,1988-11-16 08:00:00
386,7.81990950226245,71.2047511312217,973.384821645202,1988-11-16 09:00:00
386,9.17036199095023,71.1518099547511,973.706900216303,1988-11-16 10:00:00
386,10.6178733031674,71.1027149321267,974.011927568935,1988-11-16 11:00:00
386,12.1427601809955,71.0773755656109,973.869834081684,1988-11-16 12:00:00
386,13.7237556561086,71.0957013574661,973.831942485084,1988-11-16 13:00:00
386,15.3947963800905,71.1282805429865,973.830047905254,1988-11-16 14:00:00
386,17.0399159663866,71.1511877828054,973.494707275342,1988-11-16 15:00:00
386,18.61773234935,71.1620780363428,973.574279628202,1988-11-16 16:00:00
386,20.0853847949436,71.1519643754938,973.03053521699,1988-11-16 17:00:00
386,21.4000125691302,71.111859872154,972.558784839317,1988-11-16 18:00:00
386,22.5187549378726,71.0327775982188,972.484896225947,1988-11-16 19:00:00
386,23.3987511671335,70.9057306255836,973.00780025903,1988-11-16 20:00:00
386,23.9971405228758,70.7217320261438,974.648506391818,1988-11-16 21:00:00
387,-67.8768790849673,57.9473039215686,992.194210197534,1988-11-17 17:00:00
387,-68.2846171802054,58.266106442577,990.839585619077,1988-11-17 18:00:00
387,-68.5905183868419,58.5935143288085,989.221614444249,1988-11-17 19:00:00
387,-68.8126194067371,58.923777203189,988.992370284818,1988-11-17 20:00:00
387,-68.9689569417511,59.2511446886447,989.27276809966,1988-11-17 21:00:00
387,-69.0775676937442,59.5698664081017,988.380420999725,1988-11-17 22:00:00
387,-69.1564883645766,59.8741919844861,988.293270327545,1988-11-17 23:00:00
387,-69.2237556561086,60.158371040724,988.766915285047,1988-11-18 00:00:00
387,-69.3156108597285,60.3898190045249,988.134125621824,1988-11-18 01:00:00
387,-69.425113122172,60.6015837104072,988.202330495704,1988-11-18 02:00:00
387,-69.6106334841629,60.7635746606335,987.611221588742,1988-11-18 03:00:00
387,-69.8828054298643,60.9149321266968,986.703717850167,1988-11-18 04:00:00
387,-70.1690045248869,61.062443438914,986.644985875437,1988-11-18 05:00:00
387,-70.4289592760181,61.1805429864254,986.783290203027,1988-11-18 06:00:00
387,-70.6701357466063,61.29592760181,986.771922724047,1988-11-18 07:00:00
387,-70.9153846153846,61.437556561086,986.713190749317,1988-11-18 08:00:00
387,-71.1192307692308,61.5690045248869,986.743504026597,1988-11-18 09:00:00
387,-71.3038461538462,61.7237556561086,985.392668607801,1988-11-18 10:00:00
387,-71.4914027149321,61.9029411764706,985.676855582302,1988-11-18 11:00:00
387,-71.6710407239819,62.0230769230769,985.858735245983,1988-11-18 12:00:00
387,-71.8671945701358,62.1529411764706,986.093663144904,1988-11-18 13:00:00
387,-72.0196832579186,62.2414027149321,985.557497053012,1988-11-18 14:00:00
387,-72.2052036199095,62.3219457013575,985.809476170403,1988-11-18 15:00:00
387,-72.3651583710407,62.410407239819,986.146711380144,1988-11-18 16:00:00
387,-72.5615384615385,62.5056561085973,986.578675581387,1988-11-18 17:00:00
387,-72.7386877828054,62.6065610859729,986.722663648467,1988-11-18 18:00:00
387,-72.8925339366516,62.7289592760181,987.092106715319,1988-11-18 19:00:00
387,-73.0350678733032,62.8717194570136,987.611221588742,1988-11-18 20:00:00
387,-73.1952488687783,63.0337104072398,988.287586588055,1988-11-18 21:00:00
387,-73.352036199095,63.1961538461539,989.132569192239,1988-11-18 22:00:00
387,-73.4674208144797,63.3556561085973,989.229192763569,1988-11-18 23:00:00
387,-73.516742081448,63.4882352941177,989.238665662719,1988-11-19 00:00:00
387,-73.6407239819005,63.6676470588235,989.31823801558,1988-11-19 01:00:00
387,-73.8423076923077,63.879185520362,989.483066460791,1988-11-19 02:00:00
387,-74.1090497737557,64.122850678733,989.704732300902,1988-11-19 03:00:00
387,-74.3961538461539,64.3963800904978,989.784304653762,1988-11-19 04:00:00
387,-74.6757918552037,64.7128959276018,990.168904359254,1988-11-19 05:00:00
387,-74.9701357466064,65.0502262443439,990.398148518685,1988-11-19 06:00:00
387,-75.3190045248869,65.4361990950226,990.993046585308,1988-11-19 07:00:00
387,-75.5929864253394,65.8294117647059,990.962733308028,1988-11-19 08:00:00
387,-75.8319004524887,66.2384615384616,991.209028685929,1988-11-19 09:00:00
387,-76.0748868778281,66.654298642534,991.955493138953,1988-11-19 10:00:00
387,-76.2595022624435,67.0332579185521,992.207472256344,1988-11-19 11:00:00
387,-76.4255656108597,67.3816742081448,992.239680113454,1988-11-19 12:00:00
